Название товара:,Цена по акции:
"Вода питьевая СЕНЕЖСКАЯ, Минеральная негазированная, 500мл",27.99
"Сок ДОБРЫЙ, Яблочгый осветленный, 200мл",29.99
"Сок ДОБРЫЙ, Яблоко-персик, 200мл",29.99
"Сок ДОБРЫЙ, Яблоко-персик, 200мл",29.99
"Конфеты ЛИМОННАЯ ВИЛЛА помадные (Азовская КФ), 100г",29.99
"Сок ДОБРЫЙ, Яблоко-вишня, 200мл",29.99
"Сок ДОБРЫЙ, Яблочгый осветленный, 200мл",29.99
"Конфеты ЛИМОННАЯ ВИЛЛА помадные (Азовская КФ), 100г",29.99
"Сыр глазированный СОВЕТСКИЕ ТРАДИЦИИ, ваниль, 26%, 45г",29.99
"Сырок глазированный СОВЕТСКИЕ ТРАДИЦИИ, вареная сгущенка, 26%,
                45г",29.99
"Корм для кошек ШЕБА Крафт Коллекшн Говядина в соусе, 75г",29.99
"Корм для кошек ШЕБА Крафт Коллекшн Курица в соусе, 75г",29.99
"Сок ДОБРЫЙ, Яблоко-вишня, 200мл",29.99
"Корм для кошек ШЕБА Крафт Коллекшн Говядина в соусе, 75г",29.99
"Корм для кошек ШЕБА Крафт Коллекшн Курица в соусе, 75г",29.99
"Сыр глазированный СОВЕТСКИЕ ТРАДИЦИИ, ваниль, 26%, 45г",31.99
"Сырок глазированный СОВЕТСКИЕ ТРАДИЦИИ, вареная сгущенка, 26%,
                45г",31.99
"Сыр глазированный СОВЕТСКИЕ ТРАДИЦИИ, ваниль, 26%, 45г",31.99
"Сырок глазированный СОВЕТСКИЕ ТРАДИЦИИ, вареная сгущенка, 26%,
                45г",31.99
"Арахис CHICO&RICO® жареный соленый, 80г",32.99
"Арахис CHICO&RICO® жареный соленый, 80г",32.99
"Арахис CHICO&RICO® жареный соленый, 80г",32.99
"Вода минеральная СЕНЕЖСКАЯ, Газированная, 1,5л",32.99
"Вода минеральная СЕНЕЖСКАЯ, Негазированная, 1,5л",32.99
"Конфеты АТТАШЕ суфле брауни-итальянский десерт, 100г",32.99
"Конфеты АТТАШЕ суфле брауни-итальянский десерт, 100г",32.99
"Чай ЗЕЛЕНЫЙ ДРАКОН зеленый Мелисса, 20пакетиков",34.99
"Ирис КИС-КИС (красный Октябрь), 100г",34.99
"Ирис КИС-КИС (красный Октябрь), 100г",34.99
"Вода питьевая БОН АКВА, Негазированная, 500мл",34.99
"Хлеб ГОРЧИЧНЫЙ пшеничный нарезка высший сорт (Русский хлеб),
                400г",35.99
"Хлеб ГОРЧИЧНЫЙ пшеничный нарезка высший сорт (Русский хлеб),
                400г",35.99
"Хлеб ГОРЧИЧНЫЙ пшеничный нарезка высший сорт (Русский хлеб),
                400г",35.99
"Хлеб ГОРЧИЧНЫЙ пшеничный нарезка высший сорт (Русский хлеб),
                400г",35.99
"Хлеб ГОРЧИЧНЫЙ пшеничный нарезка высший сорт (Русский хлеб),
                400г",35.99
"Попкорн LUCKY DAYS®, Карамель/сыр, для микроволновой печи, 85г",36.99
"Попкорн LUCKY DAYS®, Карамель/сыр, для микроволновой печи, 85г",36.99
"Попкорн LUCKY DAYS®, Карамель/сыр, для микроволновой печи, 85г",36.99
"Хлебцы ЩЕДРЫЕ Бородинские, 100г",37.99
"Мини-сушки СЕМЕЙКА ОЗБИ, простые, 150г",39.99
"Приправа КОТАНИ, для свинины, 30г",39.99
"Пюре ФРУТОНЯНЯ, Салатик из фруктов, 90г",39.99
"Вода минеральная СЕНЕЖСКАЯ, Негазированная, 1,5л",39.99
"Вода минеральная СЕНЕЖСКАЯ, Газированная, 1,5л",39.99
"Ряженка ЭКОВАКИНО 2%, 470мл",39.99
"Мороженое ЧЕЛНЫ ХОЛОД Пломбир с вареной сгущенкой брикет, 75г",39.99
"Конфеты ХОЛЛС Мини минтс вкус арбуза, 12,5г",39.99
"Напиток газированный ЧЕРНОГОЛОВКА Байкал, 500мл",39.99
"Напиток газированный ЧЕРНОГОЛОВКА Дюшес, 500мл",39.99
"Напиток газированный ЧЕРНОГОЛОВКА Байкал, 500мл",39.99
"Напиток газированный ЧЕРНОГОЛОВКА Дюшес, 500мл",39.99
"Пюре ФРУТОНЯНЯ, Салатик из фруктов, 90г",39.99
"Конфеты ХОЛЛС Мини минтс вкус арбуза, 12,5г",39.99
"Конфеты ХОЛЛС Мини Минтс мята, 12,5г",39.99
"Ряженка ЭКОВАКИНО 2%, 470мл",39.99
"Конфеты ХОЛЛС Мини Минтс мята, 12,5г",39.99
"Ряженка ЭКОВАКИНО 2%, 470мл",39.99
"Суфле СЛАДКИЙ СНЕГ ваниль, 85г",39.99
"СЛОЙКА с сыром (Коломенский БКК), 70г",39.99
"СЛОЙКА с сыром (Коломенский БКК), 70г",39.99
"СЛОЙКА с сыром (Коломенский БКК), 70г",39.99
"Суфле СЛАДКИЙ СНЕГ ваниль, 85г",39.99
"Десерт ФАРАДЕЛЛА (Акконд), 100г",39.99
"Приправа КОТАНИ, для свинины, 30г",39.99
"Десерт ФАРАДЕЛЛА (Акконд), 100г",39.99
"Мини-сушки СЕМЕЙКА ОЗБИ, простые, 150г",42.99
"Хлебцы ЩЕДРЫЕ Бородинские, 100г",42.99
"БЗМЖ АКТИВИА Биойогурт б/сах груша/черник2,9%130г пл/ст:12",44.99
"Биойогурт АКТИВИА клубника-яблоко-питахайя, 2,9%, 130г",44.99
"Сырок СВИТЛОГОРЬЕ золотая ириска в карамельной глазури, 23%, 50г",44.99
"Чай черный ПРИНЦЕССА НУРИ, отборный, 25 пакетиков",44.99
"Соль морская МАРЕМАН, Средняя, 1кг",44.99
"Сырок творожный СВИТЛОГОРЬЕ, глазированный, какао, 26%, 50г",44.99
"Конфеты ЭЛЬ шоколадно-ореховая начинка, 100г",44.99
"Салат листовой, 1 уп. (100 г)",44.99
"Батончик ПИКНИК, Шоколадный с грецкими орехами, 52г",44.99
"Батончик ПИКНИК, Шоколадный с грецкими орехами, 52г",44.99
"Биойогурт АКТИВИА виноград-манго-папайя-чиа, 2,9%, 130г",44.99
"Биойогурт АКТИВИА виноград-манго-папайя-чиа, 2,9%, 130г",44.99
"Сырок творожный СВИТЛОГОРЬЕ, глазированный, ваниль, 26%, 50г",44.99
"Биойогурт АКТИВИА клубника-яблоко-питахайя, 2,9%, 130г",44.99
"Сырок творожный СВИТЛОГОРЬЕ, глазированный, карамель, ваниль,
                26%, 50г",44.99
"Салат листовой, 1 уп. (100 г)",44.99
"Квас РУССКИЙ ДАР, 500мл",44.99
"Напиток энергетический DRANGO® газированный, 500мл",44.99
"Напиток энергетический DRANGO® газированный, 500мл",44.99
"Вода минеральная ПСЫЖ, Негазированная, 1л",44.99
"Конфеты ЭЛЬ шоколадно-ореховая начинка, 100г",44.99
Слойка с беконом и сыром 70г п/уп(Коломенский БКК),45.99
Слойка с беконом и сыром 70г п/уп(Коломенский БКК),45.99
Слойка с беконом и сыром 70г п/уп(Коломенский БКК),45.99
Слойка с беконом и сыром 70г п/уп(Коломенский БКК),45.99
"Сырок СВИТЛОГОРЬЕ золотая ириска в карамельной глазури, 23%, 50г",46.99
"Сырок СВИТЛОГОРЬЕ золотая ириска в карамельной глазури, 23%, 50г",46.99
"Сырок творожный СВИТЛОГОРЬЕ, глазированный, ваниль, 26%, 50г",46.99
"Сырок творожный СВИТЛОГОРЬЕ, глазированный, карамель, ваниль,
                26%, 50г",46.99
"Вода питьевая БОН АКВА, негазированная, 1л",46.99
"Сырок творожный СВИТЛОГОРЬЕ, глазированный, карамель, ваниль,
                26%, 50г",46.99
"Сырок творожный СВИТЛОГОРЬЕ, глазированный, ваниль, 26%, 50г",46.99
"Сырок творожный СВИТЛОГОРЬЕ, глазированный, какао, 26%, 50г",46.99
"Сырок творожный СВИТЛОГОРЬЕ, глазированный, какао, 26%, 50г",46.99
"Пиво ЖИГУЛИ ЭКСПОРТ, светлое, фильтрованное, пастеризованное,
                4,8%, 0,45л",47.99
"Крем ЧИСТАЯ ЛИНИЯ, Увлажняющий для комбинированной кожи, 40мл",48.99
"Крем для лица ЧИСТАЯ ЛИНИЯ, Увлажняющий, дневной для сухой кожи,
                40мл",48.99
"Крем для лица ЧИСТАЯ ЛИНИЯ, Увлажняющий, дневной для сухой кожи,
                40мл",48.99
"Крем ЧИСТАЯ ЛИНИЯ, Увлажняющий для комбинированной кожи, 40мл",48.99
"Виноград МОЯ ЦЕНА сушеный, 100г",48.99
"Десерт ДАНИССИМО, с творожным кремом, киви, 130г",49.99
"Соль морская МАРЕМАН, Средняя, 1кг",49.99
"Конфеты ПТИЦА ДИВНАЯ, 100г",49.99
"Вафли КОЛОМЕНСКОЕ глазированные с арахисом и фундуком, 160г",49.99
"Мороженое МАКСИБОН Страчателла брикет, 93г",49.99
"Мороженое МАКСИБОН Страчателла брикет, 93г",49.99
"Карамель ЧУПА ЧУПС на палочке мини, 100г",49.99
"Конфеты ПТИЦА ДИВНАЯ, 100г",49.99
"Десерт ДАНИССИМО, с творожным кремом и хрустящими шариками, 130г",49.99
"Десерт ДАНИССИМО, с творожным кремом, черника, 130г",49.99
"Десерт ДАНИССИМО, с творожным кремом и шоколадом, 130г",49.99
"Чай черный ПРИНЦЕССА НУРИ, отборный, 25 пакетиков",49.99
"Чипсы БИНГРЕ, вкус краба, 50г",49.99
"Чипсы БИНГРЕ, вкус краба, 50г",49.99
"Карамель ЧУПА ЧУПС на палочке мини, 100г",49.99
"Курага в шоколаде КРЕМЛИНА, 100г",51.99
"Мацони КУБАНСКИЙ МОЛОЧНИК, 3,20%, 320г",51.99
"Мацони КУБАНСКИЙ МОЛОЧНИК, 3,20%, 320г",51.99
"Мацони КУБАНСКИЙ МОЛОЧНИК, 3,20%, 320г",51.99
"Курага в шоколаде КРЕМЛИНА, 100г",51.99
"Шоколад РОССИЙСКИЙ, темный, 90г",52.99
"Укроп, 1 уп. (100 г)",52.99
"Укроп, 1 уп. (100 г)",52.99
"Шоколад РОССИЙСКИЙ, горький, 70% какао, 90г",52.99
"Пиво ЖИГУЛИ ЭКСПОРТ, светлое, фильтрованное, пастеризованное,
                4,8%, 0,45л",53.99
"Икра трески АВАЧА, Соленая пробойная, 130г",54.99
"Чипсы ТУРБО ДИЗЕЛЬ краб, 75г",54.99
"Чипсы ТУРБО ДИЗЕЛЬ сметана-лук, 75г",54.99
"Шоколад молочный АЛЬПЕН ГОЛЬД, Соленый миндаль и карамель, 90г",54.99
"Шоколад молочный АЛЬПЕН ГОЛЬД, с фундуком, 90г",54.99
"Батончик ПИКНИК арахис-изюм-вафля-воздушный рис, 76г",54.99
"Батончик шоколадный МИЛКА арахис и воздушный рис, 37г",54.99
"Батончик шоколадный МИЛКА с кусочками Орео, 37г",54.99
"Чипсы ТУРБО ДИЗЕЛЬ краб, 75г",54.99
"Икра трески АВАЧА, Соленая пробойная, 130г",54.99
"Шоколад молочный АЛЬПЕН ГОЛЬД, Черника с йогуртом, 90г",54.99
"Шоколад молочный АЛЬПЕН ГОЛЬД, Клубника с йогуртом, 90г",54.99
"Икра трески АВАЧА, Соленая пробойная, 130г",54.99
"Шоколад молочный АЛЬПЕН ГОЛЬД, Соленый арахис и крекер, 90г",54.99
"Чипсы ТУРБО ДИЗЕЛЬ сметана-лук, 75г",54.99
"Шоколад молочный АЛЬПЕН ГОЛЬД, Капучино, 90г",54.99
"Батончик шоколадный МИЛКА с кусочками Орео, 37г",54.99
"Батончик ПИКНИК арахис-изюм-вафля-воздушный рис, 76г",54.99
"Батончик шоколадный МИЛКА арахис и воздушный рис, 37г",54.99
"Шоколад РОССИЙСКИЙ, Темный с миндалем, 90г",56.99
"Семена подсолнечника МАГНИТ жареные, 150г",56.99
"Семена подсолнечника МАГНИТ жареные, 150г",56.99
"Шоколад РОССИЙСКИЙ, горький, 70% какао, 90г",56.99
"Шоколад РОССИЙСКИЙ, темный, с фундуком и печеньем, 90г",56.99
"Шоколад РОССИЙСКИЙ, темный, 90г",56.99
"Шоколад РОССИЙСКИЙ, Темный с миндалем, 90г",56.99
"Шоколад РОССИЙСКИЙ, темный, с фундуком и печеньем, 90г",56.99
"Шоколад белый АЛЬПЕН ГОЛЬД, миндаль, кокосовая стружка, 90г",57.99
"Пиво ОХОТА Крепкое светлое фильтрованное 8,1%, 0,43л",57.99
"Шоколад молочный АЛЬПЕН ГОЛЬД, Соленый арахис и крекер, 90г",57.99
"Пиво ОХОТА Крепкое светлое фильтрованное 8,1%, 0,43л",57.99
"Пиво КРУШОВИЦЕ светлое фильтрованное 4,2%, 0,43л",57.99
"Шоколад АЛЬПЕН ГОЛЬД, молочный, 90г",57.99
"Шоколад молочный АЛЬПЕН ГОЛЬД, Соленый миндаль и карамель, 90г",57.99
"Шоколад молочный АЛЬПЕН ГОЛЬД, с фундуком, 90г",57.99
"Шоколад молочный АЛЬПЕН ГОЛЬД, Клубника с йогуртом, 90г",57.99
"Шоколад молочный АЛЬПЕН ГОЛЬД, Черника с йогуртом, 90г",57.99
"Шоколад АЛЬПЕН ГОЛЬД, с фундуком и изюмом, 90г",57.99
"Шоколад молочный АЛЬПЕН ГОЛЬД, Капучино, 90г",57.99
"Десерт ДАНИССИМО, с творожным кремом и шоколадом, 130г",59.99
"Десерт ДАНИССИМО, с творожным кремом и шоколадом, 130г",59.99
"Колбаски АТЯШЕВО Кнуты сырокопченые, 100г",59.99
"Десерт ДАНИССИМО, с творожным кремом и хрустящими шариками, 130г",59.99
"Десерт ДАНИССИМО, с творожным кремом, киви, 130г",59.99
"Десерт ДАНИССИМО, с творожным кремом, черника, 130г",59.99
"Десерт ДАНИССИМО, с творожным кремом, черника, 130г",59.99
"Колбаски АТЯШЕВО Кнуты сырокопченые, 100г",59.99
"Колбаски АТЯШЕВО Кнуты сырокопченые, 100г",59.99
"Йогурт питьевой АКТИВИА яблоко-клубника-черника 2%, 260г",59.99
"Хлеб РЖАНОЙ КРАЙ, нарезка, 300г",59.99
"Хлеб РЖАНОЙ КРАЙ, нарезка, 300г",59.99
"Молоко СЛАВЯНСКИЕ КРУЖЕВА ультрапастеризованное 3,2%, 930мл",59.99
"Йогурт питьевой АКТИВИА яблоко-персик 2%, 260г",59.99
"Десерт ДАНИССИМО, с творожным кремом и хрустящими шариками, 130г",59.99
"Десерт ДАНИССИМО, с творожным кремом, киви, 130г",59.99
"Хлеб РЖАНОЙ КРАЙ, нарезка, 300г",59.99
"Крекер ТУК, с сыром, 100г",59.99
"Вода питьевая АКВА МИНЕРАЛЕ черешня газированная, 500мл",59.99
"Вода питьевая АКВА МИНЕРАЛЕ яблоко газированная, 500мл",59.99
"Вода питьевая АКВА МИНЕРАЛЕ лимон негазированная, 500мл",59.99
"Напиток чайный ПРИНЦЕССА ЯВА, Каркадэ, 80г",59.99
"Напиток чайный ПРИНЦЕССА ЯВА, Каркадэ, 80г",59.99
"Пиво БАЛТИКА Крафти светлое Пшеничное нефильтрованное 5%, 0,45л",59.99
"Пиво КРУШОВИЦЕ светлое фильтрованное 4,2%, 0,43л",59.99
"Пиво БАЛТИКА Крафти тёмное пастеризованное 4,5%, 0,45л",59.99
"Хлеб РЖАНОЙ КРАЙ, нарезка, 300г",59.99
"Крекер ТУК, копченые колбаски, 100г",59.99
"Крекер ТУК, со сметаной и луком, 100г",59.99
"Крекер ТУК, со сметаной и луком, 100г",59.99
"Крекер ТУК, со вкусом пиццы, 100г",59.99
"Крекер ТУК, со вкусом пиццы, 100г",59.99
"Крекер ТУК, копченые колбаски, 100г",59.99
"Хлеб РЖАНОЙ КРАЙ, нарезка, 300г",59.99
"Крекер ТУК, со вкусом краба, 100г",59.99
"Кисель КЛЮКВЕННЫЙ, Фруктовый десерт (РостАгроКомплекс), 500г",59.99
"Кисель ВИШНЕВЫЙ, Фруктовый десерт (РостАгроКомплекс), 500г",59.99
"Кисель ВИШНЕВЫЙ, Фруктовый десерт (РостАгроКомплекс), 500г",59.99
"Кисель КЛЮКВЕННЫЙ, Фруктовый десерт (РостАгроКомплекс), 500г",59.99
"Кисель КЛЮКВЕННЫЙ, Фруктовый десерт (РостАгроКомплекс), 500г",59.99
"Кисель ВИШНЕВЫЙ, Фруктовый десерт (РостАгроКомплекс), 500г",59.99
"Крекер ТУК, со вкусом краба, 100г",59.99
"Крекер ТУК, с сыром, 100г",59.99
"Чай черный ЛИПТОН, Йеллоу Лэйбл, 25 пакетиков",59.99
"Хлеб РЖАНОЙ КРАЙ, нарезка, 300г",59.99
"Йогурт питьевой АКТИВИА яблоко-персик 2%, 260г",62.99
"Йогурт питьевой АКТИВИА яблоко-клубника-черника 2%, 260г",62.99
"Палочки кукурузные ПРАЗДНИК СЛАСТЕНЫ, 250г",63.99
"Палочки кукурузные ПРАЗДНИК СЛАСТЕНЫ, 250г",63.99
"Палочки кукурузные ПРАЗДНИК СЛАСТЕНЫ, 250г",63.99
"Палочки кукурузные ПРАЗДНИК СЛАСТЕНЫ, 250г",63.99
"Вафли сливочные КОЛОМЕНСКОЕ, традиционные, 220г",64.99
"Икра ЦАРСКАЯ осетровая имитированная, 220г",64.99
"Икра ЦАРСКАЯ осетровая имитированная, 220г",64.99
"Творог КУБАНСКИЙ МОЛОЧНИК, 9%, 180г",64.99
"Творог КУБАНСКИЙ МОЛОЧНИК, 9%, 180г",64.99
"Творог КУБАНСКИЙ МОЛОЧНИК, 9%, 180г",64.99
"Чай зеленый ЗЕЛЕНЫЙ ДРАКОН, крупнолистовой с жасмином, 100г",64.99
"Мороженое НАСТОЯЩИЙ ПЛОМБИР рожок со вкусом фисташки, 110г",64.99
"Мороженое НАСТОЯЩИЙ ПЛОМБИР рожок со вкусом фисташки, 110г",64.99
"Сок ДЖЕЙ СЕВЕН Апельсиновый с мякотью, 300мл",64.99
"Сок ДЖЕЙ СЕВЕН Мультифрукт, 300мл",64.99
"Сок ДЖЕЙ СЕВЕН Мультифрукт, 300мл",64.99
"Сок ДЖЕЙ СЕВЕН Яблочный осветленный, 300мл",64.99
"Мороженое НАСТОЯЩИЙ ПЛОМБИР рожок со вкусом фисташки, 110г",64.99
"Сок ДЖЕЙ СЕВЕН Апельсиновый с мякотью, 300мл",64.99
"Сок ДЖЕЙ СЕВЕН Яблочный осветленный, 300мл",64.99
"Смесь для выпечки ПЕЧЕМ ДОМА хлеб бородинский, 500г",67.99
"Смесь для выпечки ПЕЧЕМ ДОМА хлеб бородинский, 500г",67.99
"Пельмени ЖАРПЕЛИ с мясом жареные во фритюре, 300г",67.99
"Пельмени ЖАРПЕЛИ с мясом жареные во фритюре, 300г",67.99
"Пельмени ЖАРПЕЛИ с мясом жареные во фритюре, 300г",67.99
"Колбаса БОГОРОДСКАЯ, (Черкизовский МПЗ), 100г",68.99
"Колбаса БОГОРОДСКАЯ, (Черкизовский МПЗ), 100г",68.99
"Колбаса БОГОРОДСКАЯ, (Черкизовский МПЗ), 100г",68.99
"Сметана МОЛОЧНОЕ ЦАРСТВО 10%, 315г",69.89
"Сметана МОЛОЧНОЕ ЦАРСТВО 10%, 315г",69.89
"Сметана МОЛОЧНОЕ ЦАРСТВО 10%, 315г",69.89
"Творог БАЛТКОМ классический 9%, 180г",69.99
"Молоко ПРОСТОКВАШИНО, пастеризованное, 2,5%, 930мл",69.99
"Молоко ПРОСТОКВАШИНО, пастеризованное, 2,5%, 930мл",69.99
"Молоко ПРОСТОКВАШИНО, пастеризованное, 2,5%, 930мл",69.99
"Вафли КОЛОМЕНСКОЕ апельсин-ваниль, 200г",69.99
"Нектар БАРИНОФФ Манго, 250мл",69.99
"Мороженое ЭКСТРИМ банан-малина рожок, 78г",69.99
"Сок БАРИНОФФ гранатовый, 250мл",69.99
"Нектар БАРИНОФФ Манго, 250мл",69.99
"Нектар БАРИНОФФ вишневый, 250мл",69.99
"Мороженое ЭКСТРИМ банан-малина рожок, 78г",69.99
"Нектар БАРИНОФФ шиповник, 330мл",69.99
"Сок БАРИНОФФ гранатовый, 250мл",69.99
"Напиток энергетический ХОТКАТ Мульт-фрут, 450мл",69.99
"Сыр творожный САВУШКИН воздушный сливочный 60%, 150г",69.99
"Напиток энергетический ХОТКЭТ манго-малина газированный, 450мл",69.99
"Вафли сливочные КОЛОМЕНСКОЕ, традиционные, 220г",69.99
"Напиток энергетический ХОТКАТ Барберри, 450мл",69.99
"Напиток энергетический ХОТКЭТ манго-малина газированный, 450мл",69.99
"Напиток энергетический ХОТКЭТ киви-фейхоа газированный, 450мл",69.99
"Творог КУБАНСКИЙ МОЛОЧНИК, со сметаной, 160г",69.99
"Икра ЦАРСКАЯ осетровая имитированная, 220г",69.99
"Вода минеральная БОРЖОМИ, Газированная, лечебная, 330мл",69.99
"Туалетная бумага СОФТ, 2-слойная, 4 рулона",69.99
"Напиток энергетический ХОТКЭТ киви-фейхоа газированный, 450мл",69.99
"Сок БАРИНОФФ яблочный, 250мл",69.99
"Туалетная бумага СОФТ, 2-слойная, 4 рулона",69.99
"Напиток энергетический ХОТКАТ Мульт-фрут, 450мл",69.99
"Напиток энергетический ХОТКАТ Барберри, 450мл",69.99
"Сельдь СЕВЕРНАЯ ГАВАНЬ филе кусочки в масле, 150г",69.99
"Сельдь СЕВЕРНАЯ ГАВАНЬ филе кусочки в масле, 150г",69.99
"Шарики кукурузные СЫР BALL® сыр, 140г",69.99
"Мороженое МАКСИБОН Страчателла брикет, 93г",69.99
"Сок БАРИНОФФ яблочный, 250мл",69.99
"Вафли КОЛОМЕНСКОЕ апельсин-ваниль, 200г",69.99
"Нектар БАРИНОФФ шиповник, 330мл",69.99
"Сельдь СЕВЕРНАЯ ГАВАНЬ филе кусочки в масле, 150г",69.99
"Нектар БАРИНОФФ вишневый, 250мл",69.99
"Батончик СМАРТБАР Протеин про кокос, 35г",69.99
"Мороженое МАГНАТ эскимо манго в белом шоколаде с миндалем, 70г",69.99
"Эскимо МАГНАТ, Шоколадный трюфель, 80г",69.99
"Эскимо МАГНАТ, Шоколадный трюфель, 80г",69.99
"Мороженое КОРОВКА ИЗ КОРЕНОВКИ, с клубничным джемом, 120г",69.99
"Мороженое МАГНАТ эскимо манго в белом шоколаде с миндалем, 70г",69.99
"Мороженое МАГНАТ эскимо манго в белом шоколаде с миндалем, 70г",69.99
"Эскимо МАГНАТ, Шоколадный трюфель, 80г",69.99
"Творог БАЛТКОМ классический 9%, 180г",69.99
"Творог БАЛТКОМ классический 9%, 180г",69.99
"Батончик СМАРТБАР Протеин про кокос, 35г",69.99
"Мороженое ЭКСТРИМ банан-малина рожок, 78г",69.99
"Хлеб РЖАНОЙ КРАЙ, зерновой, нарезка, 300г",70.96
"Хлеб РЖАНОЙ КРАЙ, зерновой, нарезка, 300г",70.96
"Хлеб РЖАНОЙ КРАЙ, зерновой, нарезка, 300г",70.96
"Хлеб РЖАНОЙ КРАЙ, зерновой, нарезка, 300г",70.96
"Хлеб РЖАНОЙ КРАЙ, зерновой, нарезка, 300г",70.96
"Хлеб РЖАНОЙ КРАЙ, зерновой, нарезка, 300г",70.96
"Творог КУБАНСКИЙ МОЛОЧНИК, со сметаной, 160г",71.99
"Творог КУБАНСКИЙ МОЛОЧНИК, со сметаной, 160г",71.99
"Конфеты шоколадные КИТ-КАТ, с хрустящими вафлями, 100г",71.99
"Конфеты шоколадные КИТ-КАТ, с хрустящими вафлями, 100г",71.99
"Сервелат ЗЕРНИСТЫЙ варено-копченый нарезка (Великолукский МК),
                150г",72.99
"Сельдерей стебель, 1 шт (300-600 г)",72.99
"Сервелат ЗЕРНИСТЫЙ варено-копченый нарезка (Великолукский МК),
                150г",72.99
"Сельдерей стебель, 1 шт (300-600 г)",72.99
"Чай ТЕСС Санрайз черный Цейлон, 25пакетиков",72.99
"Сервелат ЗЕРНИСТЫЙ варено-копченый нарезка (Великолукский МК),
                150г",72.99
"Соль СЕТРА Гималайская розовая мелкая, 500г",72.99
"Чай ТЕСС Санрайз черный Цейлон, 25пакетиков",72.99
"Молоко ЭКОНИВА ультрапастеризованное 2,5%, 1л",74.99
